left_hand_angle,right_hand_angle,left_chest_angle,right_chest_angle,left_hip_angle,right_hip_angle,left_leg_angle,right_leg_angle,pose
345.1301657,4.526106242,1.990360122,350.8970999,3.279303796,50.47205191,359.8937731,227.7667567,tree
346.46481,0,0.306504181,0,5.238367296,0,0.052225993,0,tree
345.544224,3.481602207,359.2571401,350.0733923,8.073283457,49.60735783,356.4776721,237.5349667,tree
339.4302727,18.42579561,1.96469539,359.2900101,0.984026807,46.80298364,359.6952191,231.3776161,tree
348.1474095,9.008957073,1.456176155,354.22028,4.033633105,49.0067715,359.1864044,232.766329,tree
349.4996801,9.345784606,3.389446417,353.2394183,0.526935933,47.08524566,2.173136772,232.0822714,tree
343.6610029,13.92175885,1.94193993,357.9316317,1.272684068,0,0.429030582,0,tree
344.2199191,13.97497694,1.402585671,356.294432,3.82478106,49.36324706,358.1398592,233.8581453,tree
343.9091107,10.8733815,358.9419989,355.2627193,4.653888911,48.89311712,359.0067019,230.661761,tree
0,12.96775945,0,355.1468649,2.795930851,49.04986494,358.3501474,228.874347,tree
354.9663161,8.070594549,7.515733419,350.524211,3.074489707,49.76632054,0.283129861,232.5449341,tree
347.4633319,15.18770256,4.032861136,355.3666679,3.328125481,49.91469422,359.8378083,233.1973596,tree
343.230948,12.95086366,0.421244209,355.8198571,2.995694212,49.2417056,359.0026484,231.1729954,tree
338.9228484,18.97232249,1.348480334,355.095696,0.646602789,47.38090337,0.545575151,230.5810422,tree
338.5078908,11.57971405,357.4927691,355.7629316,0.942880129,46.29440835,358.8863752,239.1759773,tree
343.0525973,8.939011235,355.5765134,353.7801813,3.055872001,46.44173439,1.637503019,243.5721721,tree
344.3689875,11.3170278,358.8744842,355.7365875,0.289484031,44.18357393,2.666057186,232.4981492,tree
340.7064661,0,357.6780142,0,0.66834961,49.84031645,1.1129377,228.5723148,tree
348.9601358,0,1.540763074,0,359.8615017,45.62993708,1.975670026,233.5497873,tree
341.4516999,10.32282968,355.7265171,356.5024438,3.433501744,46.67199164,0.185246791,231.0119456,tree
344.8828205,9.36542052,359.8043905,354.8147317,0.335595131,46.65821102,0.112079441,228.4263461,tree
340.090197,16.7725295,357.5563689,1.001971563,1.749815989,43.76914271,0.84062327,230.0139885,tree
341.8525704,16.43766817,357.525654,358.0036052,2.385909413,48.39703414,359.0204415,236.7572529,tree
347.1684341,11.32397835,0.979624131,356.7357292,0.714991355,47.70568459,359.5776997,229.141104,tree
340.2460564,17.84867899,359.1997943,359.1818698,1.689359173,48.63230323,0.059478444,228.7139895,tree
344.3473325,13.76820968,359.7790363,357.4231815,359.7607658,47.96477866,3.478078491,233.7426129,tree
338.7356188,14.79462021,355.3616595,358.2338016,2.482486342,50.69997012,359.7331323,223.4701585,tree
340.8423245,18.34489501,355.5668227,357.580032,2.050449867,0,1.264456384,0,tree
342.0482083,16.48240389,359.1051899,357.7466355,2.048989009,50.46991882,358.96215,234.1250285,tree
343.5538019,12.32809192,1.309248583,355.3954949,359.6533044,48.92157745,0.099574537,233.8428208,tree
337.01033,13.2507917,355.5127703,355.3645507,1.669012502,47.11793758,359.8168603,233.4369225,tree
341.0502924,22.2194366,359.3039241,359.8194466,2.06709601,48.58800117,359.6846944,230.2714081,tree
342.6035133,16.55622523,0.852915204,357.9204214,0.141122297,49.00800322,1.348370689,227.7742135,tree
343.1470886,16.51778155,359.7458636,355.8532741,1.584004687,50.63000394,0.179421386,225.0433923,tree
339.8455892,17.89324492,358.7578312,359.1986779,1.686811401,46.88760733,2.026775676,232.4788443,tree
341.0695303,13.82673731,359.2385938,357.7661342,2.096893039,45.00119556,359.336295,231.6880358,tree
341.6167233,14.99573268,1.569193833,356.5410615,358.3784203,48.70609463,0.646984492,228.5841448,tree
342.5967199,19.02499297,3.237281306,359.9070075,358.859458,45.62412189,0.271485966,232.3319211,tree
336.9263173,14.90528791,357.6139289,357.918095,1.415505317,48.09413332,0.404151548,235.3469939,tree
339.92016,23.69097707,358.3257166,358.5771342,1.26504799,0,1.939257627,0,tree
0,21.25816305,0,0.498455095,1.124227328,50.18762648,0.39898789,235.7814444,tree
346.7908877,20.52010439,1.042743822,358.5508902,0.813899154,50.85120802,1.665834935,230.9018911,tree
339.3037725,23.3930302,1.460739341,359.8281664,359.337433,0,2.309362527,0,tree
342.7377266,20.27250243,4.016784756,0.331975979,0.471121347,50.09708223,0.082063148,254.0640955,tree
340.6665847,23.03641901,1.964747023,2.004665729,0.635436276,51.68417493,0.253983075,232.9833961,tree
0,31.83018235,0,359.43048,1.62334483,55.43348872,359.8592864,228.5120816,tree
333.736059,17.79301341,355.7404917,355.8784497,4.399583197,52.74456319,355.840786,233.0692647,tree
342.231646,17.42831983,0.300334674,359.845934,2.65415269,49.13664377,356.0926641,238.1920922,tree
341.0293516,8.585093319,356.5232814,352.6590412,3.262361597,51.69126883,359.9324099,237.6212118,tree
343.6415331,10.83765666,0.631213217,357.4358633,357.9218741,47.69537535,2.863345199,233.086429,tree
343.6827553,12.61381157,1.974386685,354.6919555,0.056077998,49.87574819,359.1567561,228.4175924,tree
341.7533811,8.568473507,1.149388143,355.0901429,358.2567138,47.44393094,2.568231032,234.4626135,tree
348.2210507,13.4832226,3.815473613,359.316618,2.221615075,49.16966397,359.4121411,232.0883676,tree
336.1199241,11.94039557,357.4703265,357.4292338,3.088814274,51.06681379,358.3900747,233.2928301,tree
